Registry,Distinct values of UID
ACR,119
Australian Carbon Credit Units,"1,577"
BioCarbon Standard,22
Cercarbono (listed on EcoRegistry),44
City Forest Credits,28
Clean Development Mechanism,125
Climate Action Reserve,481
Global C-Sink,94
Gold Standard Impact Registry,109
International Carbon Registry,38
Isometric,29
Plan Vivo,20
Puro.earth,93
Rainbow,16
Social Carbon,1
Unregistered CDR,"1,322"
Verra,631
Woodland Carbon Code,"2,292"
